VotersAmount,Treshold00Probability,Treshold10Probability,Treshold20Probability,Treshold30Probability,Treshold40Probability,Treshold50Probability,Treshold60Probability,Treshold70Probability,Treshold80Probability,Treshold90Probability,Treshold100Probability,Treshold00AverageVotersAmount,Treshold10AverageVotersAmount,Treshold20AverageVotersAmount,Treshold30AverageVotersAmount,Treshold40AverageVotersAmount,Treshold50AverageVotersAmount,Treshold60AverageVotersAmount,Treshold70AverageVotersAmount,Treshold80AverageVotersAmount,Treshold90AverageVotersAmount,Treshold100AverageVotersAmount
580,0.69,0.68,0.86,0.90,0.92,0.94,0.94,0.94,0.93,0.93,0.93,580.00,580.00,465.16,406.00,348.00,290.00,232.00,174.00,116.21,100.94,100.85
590,0.69,0.69,0.86,0.90,0.92,0.94,0.94,0.94,0.93,0.93,0.93,590.00,590.00,473.11,413.00,354.00,295.00,236.00,177.00,118.21,102.57,102.64
600,0.69,0.69,0.86,0.90,0.92,0.94,0.95,0.95,0.94,0.93,0.93,600.00,600.00,481.11,420.00,360.00,300.00,240.00,180.00,120.20,104.35,104.42
610,0.69,0.69,0.86,0.90,0.92,0.94,0.95,0.95,0.94,0.93,0.94,610.00,610.00,489.08,427.00,366.00,305.00,244.00,183.00,122.19,106.15,106.14
620,0.69,0.69,0.86,0.90,0.93,0.94,0.95,0.95,0.94,0.94,0.94,620.00,620.00,497.03,434.00,372.00,310.00,248.00,186.00,124.18,107.82,107.86
630,0.69,0.69,0.87,0.91,0.93,0.94,0.95,0.95,0.94,0.94,0.94,630.00,630.00,504.96,441.00,378.00,315.00,252.00,189.00,126.18,109.55,109.60
640,0.69,0.69,0.87,0.91,0.93,0.94,0.95,0.95,0.95,0.94,0.94,640.00,640.00,512.93,448.00,384.00,320.00,256.00,192.00,128.18,111.37,111.33
650,0.69,0.69,0.87,0.91,0.93,0.94,0.95,0.95,0.95,0.94,0.94,650.00,650.00,520.89,455.00,390.00,325.00,260.00,195.00,130.17,113.08,113.08
660,0.70,0.69,0.87,0.91,0.93,0.95,0.95,0.95,0.95,0.94,0.94,660.00,660.00,528.92,462.00,396.00,330.00,264.00,198.00,132.17,114.81,114.84
670,0.70,0.70,0.88,0.91,0.93,0.95,0.95,0.96,0.95,0.94,0.94,670.00,670.00,536.91,469.00,402.00,335.00,268.00,201.00,134.17,116.57,116.55
