,"Crow ""IQ""",,,,,,,,,,,Average voters,,,,,,,,,,
Voters,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
3460,0.12,0.12,0.7,0.87,0.95,0.98,0.99,0.99,1,0.99,0.99,3460,3460,2768.06,2422,2076,1730,1384,1038,692,568.29,568.48
3470,0.12,0.12,0.7,0.87,0.95,0.98,0.99,1,1,1,0.99,3470,3470,2776.04,2429,2082,1735,1388,1041,694,570.41,570.32
3480,0.12,0.12,0.7,0.87,0.95,0.98,0.99,0.99,1,1,1,3480,3480,2784.03,2436,2088,1740,1392,1044,696,571.52,569.93
3490,0.12,0.12,0.7,0.87,0.95,0.98,0.99,1,1,1,1,3490,3490,2792.02,2443,2094,1745,1396,1047,698,573.1,572.98
3500,0.12,0.12,0.7,0.87,0.95,0.98,0.99,0.99,1,1,1,3500,3500,2800,2450,2100,1750,1400,1050,700,574.54,574.04
3510,0.12,0.12,0.71,0.87,0.95,0.98,0.99,0.99,1,1,1,3510,3510,2808.02,2457,2106,1755,1404,1053,702,576.63,577.19
3520,0.12,0.12,0.7,0.87,0.95,0.98,0.99,1,1,1,1,3520,3520,2816.02,2464,2112,1760,1408,1056,704,578.53,577.84
3530,0.12,0.12,0.71,0.87,0.95,0.98,0.99,0.99,1,1,1,3530,3530,2824.02,2471,2118,1765,1412,1059,706,579.74,580.29
3540,0.12,0.12,0.71,0.87,0.95,0.98,0.99,0.99,1,1,1,3540,3540,2832.03,2478,2124,1770,1416,1062,708,581.78,581.2
3550,0.12,0.12,0.71,0.87,0.95,0.98,0.99,0.99,1,1,1,3550,3550,2840.01,2485,2130,1775,1420,1065,710,583.37,582.89
3560,0.12,0.12,0.71,0.87,0.95,0.98,0.99,0.99,1,1,1,3560,3560,2848.02,2492,2136,1780,1424,1068,712,584.66,584.92
3570,0.12,0.12,0.71,0.87,0.95,0.98,0.99,1,1,1,1,3570,3570,2856.01,2499,2142,1785,1428,1071,714,586.24,586.63
3580,0.12,0.12,0.71,0.87,0.95,0.98,0.99,1,1,0.99,1,3580,3580,2864.01,2506,2148,1790,1432,1074,716,588.39,588.51
3590,0.12,0.12,0.71,0.87,0.95,0.98,0.99,1,1,1,1,3590,3590,2872.01,2513,2154,1795,1436,1077,718,589.88,589.53
3600,0.11,0.11,0.71,0.87,0.95,0.98,0.99,1,1,1,1,3600,3600,2880.02,2520,2160,1800,1440,1080,720,590.54,591.8
3610,0.11,0.12,0.71,0.87,0.95,0.98,0.99,0.99,1,1,1,3610,3610,2888.02,2527,2166,1805,1444,1083,722,593.18,593.27
3620,0.11,0.11,0.71,0.87,0.95,0.98,0.99,1,1,1,1,3620,3620,2896.03,2534,2172,1810,1448,1086,724,593.99,594.69
3630,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3630,3630,2904.02,2541,2178,1815,1452,1089,726,596.62,596.32
3640,0.12,0.11,0.71,0.87,0.95,0.98,0.99,1,1,1,1,3640,3640,2912.02,2548,2184,1820,1456,1092,728,597.58,597.75
3650,0.11,0.11,0.71,0.87,0.95,0.98,0.99,1,1,1,1,3650,3650,2920.02,2555,2190,1825,1460,1095,730,599.07,600.97
3660,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3660,3660,2928.02,2562,2196,1830,1464,1098,732,601.88,601.08
3670,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3670,3670,2936.01,2569,2202,1835,1468,1101,734,603.02,602.92
3680,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3680,3680,2944.02,2576,2208,1840,1472,1104,736,604.7,604.38
3690,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3690,3690,2952.02,2583,2214,1845,1476,1107,738,607.02,606.12
3700,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3700,3700,2960.02,2590,2220,1850,1480,1110,740,607.78,608.29
3710,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3710,3710,2968.01,2597,2226,1855,1484,1113,742,609.73,610.23
3720,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3720,3720,2976.02,2604,2232,1860,1488,1116,744,609.55,611.23
3730,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3730,3730,2984.01,2611,2238,1865,1492,1119,746,612.81,611.74
3740,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3740,3740,2992.01,2618,2244,1870,1496,1122,748,614.62,614.58
3750,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3750,3750,3000.01,2625,2250,1875,1500,1125,750,616.04,615.14
3760,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3760,3760,3008.01,2632,2256,1880,1504,1128,752,617.94,617.98
3770,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3770,3770,3016.02,2639,2262,1885,1508,1131,754,619.09,618.96
3780,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3780,3780,3024.03,2646,2268,1890,1512,1134,756,621.11,620.95
3790,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3790,3790,3032.01,2653,2274,1895,1516,1137,758,622.72,622.41
3800,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3800,3800,3040.02,2660,2280,1900,1520,1140,760,624.59,624.97
3810,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3810,3810,3048.02,2667,2286,1905,1524,1143,762,625.44,626.79
3820,0.11,0.11,0.71,0.88,0.96,0.98,0.99,1,1,1,1,3820,3820,3056.01,2674,2292,1910,1528,1146,764,627.09,627.75
3830,0.11,0.11,0.71,0.88,0.96,0.98,0.99,1,1,1,1,3830,3830,3064.02,2681,2298,1915,1532,1149,766,630.99,629.34
3840,0.11,0.11,0.71,0.88,0.96,0.98,0.99,1,1,1,1,3840,3840,3072.03,2688,2304,1920,1536,1152,768,630.99,630.44
3850,0.11,0.11,0.71,0.88,0.95,0.98,0.99,1,1,1,1,3850,3850,3080.01,2695,2310,1925,1540,1155,770,632.38,632.54
3860,0.11,0.11,0.71,0.88,0.96,0.98,0.99,1,1,1,1,3860,3860,3088.01,2702,2316,1930,1544,1158,772,634.39,633.75
3870,0.11,0.11,0.71,0.88,0.96,0.98,0.99,1,1,1,1,3870,3870,3096.02,2709,2322,1935,1548,1161,774,635.66,635.59
3880,0.11,0.11,0.72,0.88,0.96,0.98,0.99,1,1,1,1,3880,3880,3104,2716,2328,1940,1552,1164,776,637.77,637.67
3890,0.11,0.11,0.71,0.88,0.96,0.99,0.99,1,1,1,1,3890,3890,3112.01,2723,2334,1945,1556,1167,778,639.56,638.51
3900,0.11,0.11,0.71,0.88,0.96,0.98,0.99,1,1,1,1,3900,3900,3120.01,2730,2340,1950,1560,1170,780,640.33,640.13
3910,0.11,0.1,0.72,0.88,0.96,0.99,0.99,1,1,1,1,3910,3910,3128.01,2737,2346,1955,1564,1173,782,642.71,641.6
3920,0.1,0.1,0.72,0.88,0.96,0.99,0.99,1,1,1,1,3920,3920,3136,2744,2352,1960,1568,1176,784,644.41,645.03
3930,0.11,0.11,0.71,0.88,0.96,0.98,0.99,1,1,1,1,3930,3930,3144.01,2751,2358,1965,1572,1179,786,645.32,645.19
3940,0.1,0.1,0.71,0.88,0.96,0.98,0.99,1,1,1,1,3940,3940,3152.01,2758,2364,1970,1576,1182,788,647.14,647.31
3950,0.11,0.11,0.72,0.88,0.96,0.98,0.99,1,1,1,1,3950,3950,3160.01,2765,2370,1975,1580,1185,790,649.04,648.64
3960,0.1,0.1,0.71,0.88,0.96,0.98,0.99,1,1,1,1,3960,3960,3168,2772,2376,1980,1584,1188,792,650.2,650.57
3970,0.1,0.1,0.72,0.89,0.96,0.98,0.99,1,1,1,1,3970,3970,3176.01,2779,2382,1985,1588,1191,794,652.07,652.25
3980,0.1,0.1,0.72,0.88,0.96,0.99,0.99,1,1,1,1,3980,3980,3184.01,2786,2388,1990,1592,1194,796,653.97,654.25
3990,0.1,0.1,0.72,0.88,0.96,0.99,0.99,1,1,1,1,3990,3990,3192.02,2793,2394,1995,1596,1197,798,655.39,655.46
4000,0.11,0.1,0.72,0.88,0.96,0.99,0.99,1,1,1,1,4000,4000,3200.01,2800,2400,2000,1600,1200,800,657.06,656.02
4010,0.1,0.1,0.72,0.89,0.96,0.98,0.99,1,1,1,1,4010,4010,3208,2807,2406,2005,1604,1203,802,658.73,658.58
4020,0.1,0.1,0.72,0.89,0.96,0.99,0.99,1,1,1,1,4020,4020,3216,2814,2412,2010,1608,1206,804,662.18,661.07
4030,0.1,0.1,0.72,0.89,0.96,0.99,0.99,1,1,1,1,4030,4030,3224.01,2821,2418,2015,1612,1209,806,662.58,662.04
4040,0.1,0.1,0.72,0.89,0.96,0.98,0.99,1,1,1,1,4040,4040,3232,2828,2424,2020,1616,1212,808,664.59,664.22
4050,0.1,0.1,0.72,0.89,0.96,0.99,0.99,1,1,1,1,4050,4050,3240,2835,2430,2025,1620,1215,810,665.51,665.45
4060,0.1,0.1,0.72,0.89,0.96,0.99,0.99,1,1,1,1,4060,4060,3248,2842,2436,2030,1624,1218,812,667.07,666.39
4070,0.1,0.1,0.72,0.89,0.96,0.99,0.99,1,1,1,1,4070,4070,3256.01,2849,2442,2035,1628,1221,814,669.05,669.2
4080,0.1,0.1,0.72,0.89,0.96,0.98,1,1,1,1,1,4080,4080,3264,2856,2448,2040,1632,1224,816,670.27,669.85
4090,0.1,0.1,0.72,0.89,0.96,0.98,1,1,1,1,1,4090,4090,3272,2863,2454,2045,1636,1227,818,672.25,671.02
4100,0.1,0.1,0.72,0.89,0.96,0.99,0.99,1,1,1,1,4100,4100,3280.01,2870,2460,2050,1640,1230,820,674.29,673.34
4110,0.1,0.1,0.72,0.89,0.96,0.99,0.99,1,1,1,1,4110,4110,3288,2877,2466,2055,1644,1233,822,675.62,675.14
4120,0.1,0.1,0.72,0.89,0.96,0.99,0.99,1,1,1,1,4120,4120,3296,2884,2472,2060,1648,1236,824,677.45,676.23
4130,0.1,0.1,0.72,0.89,0.96,0.99,1,1,1,1,1,4130,4130,3304.01,2891,2478,2065,1652,1239,826,678.54,679.71
4140,0.1,0.1,0.72,0.89,0.96,0.99,1,1,1,1,1,4140,4140,3312,2898,2484,2070,1656,1242,828,679.62,680.15
4150,0.1,0.1,0.72,0.89,0.96,0.99,1,1,1,1,1,4150,4150,3320,2905,2490,2075,1660,1245,830,681.38,681.1
4160,0.1,0.1,0.72,0.89,0.96,0.99,1,1,1,1,1,4160,4160,3328,2912,2496,2080,1664,1248,832,682.75,682.95
4170,0.1,0.1,0.72,0.89,0.96,0.99,0.99,1,1,1,1,4170,4170,3336.01,2919,2502,2085,1668,1251,834,685.44,684.46
4180,0.1,0.1,0.72,0.89,0.96,0.99,1,1,1,1,1,4180,4180,3344,2926,2508,2090,1672,1254,836,687.13,685.74
4190,0.1,0.1,0.72,0.89,0.96,0.99,1,1,1,1,1,4190,4190,3352,2933,2514,2095,1676,1257,838,688.79,689.06
4200,0.1,0.1,0.72,0.89,0.96,0.99,0.99,1,1,1,1,4200,4200,3360,2940,2520,2100,1680,1260,840,689.56,689.81
4210,0.1,0.1,0.72,0.89,0.96,0.99,1,1,1,1,1,4210,4210,3368,2947,2526,2105,1684,1263,842,690.77,692.65
4220,0.1,0.1,0.72,0.89,0.96,0.99,1,1,1,1,1,4220,4220,3376.01,2954,2532,2110,1688,1266,844,691.75,692.02
4230,0.1,0.1,0.72,0.89,0.96,0.99,1,1,1,1,1,4230,4230,3384,2961,2538,2115,1692,1269,846,695.39,696.18
4240,0.1,0.1,0.72,0.89,0.96,0.99,1,1,1,1,1,4240,4240,3392,2968,2544,2120,1696,1272,848,696.6,696.77
4250,0.1,0.1,0.72,0.89,0.96,0.99,1,1,1,1,1,4250,4250,3400,2975,2550,2125,1700,1275,850,698.15,698.69
4260,0.1,0.09,0.72,0.89,0.96,0.99,1,1,1,1,1,4260,4260,3408,2982,2556,2130,1704,1278,852,700.23,701.29
4270,0.09,0.1,0.72,0.89,0.96,0.99,1,1,1,1,1,4270,4270,3416,2989,2562,2135,1708,1281,854,701.34,701.68
4280,0.1,0.1,0.72,0.9,0.96,0.99,0.99,1,1,1,1,4280,4280,3424.01,2996,2568,2140,1712,1284,856,703.43,702.85
4290,0.1,0.1,0.72,0.89,0.96,0.99,0.99,1,1,1,1,4290,4290,3432,3003,2574,2145,1716,1287,858,706.29,704.46
4300,0.09,0.1,0.72,0.89,0.96,0.99,1,1,1,1,1,4300,4300,3440,3010,2580,2150,1720,1290,860,706.14,707.38
4310,0.09,0.09,0.72,0.9,0.96,0.99,0.99,1,1,1,1,4310,4310,3448.02,3017,2586,2155,1724,1293,862,707.96,707.71
4320,0.1,0.09,0.73,0.89,0.96,0.99,1,1,1,1,1,4320,4320,3456,3024,2592,2160,1728,1296,864,709.74,709.91
4330,0.09,0.09,0.72,0.89,0.96,0.99,1,1,1,1,1,4330,4330,3464,3031,2598,2165,1732,1299,866,711.57,710.89
4340,0.09,0.09,0.72,0.9,0.97,0.99,1,1,1,1,1,4340,4340,3472,3038,2604,2170,1736,1302,868,712.43,712.26
4350,0.09,0.09,0.72,0.9,0.97,0.99,1,1,1,1,1,4350,4350,3480,3045,2610,2175,1740,1305,870,713.4,715
4360,0.1,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4360,4360,3488.01,3052,2616,2180,1744,1308,872,715.31,715.53
4370,0.09,0.09,0.72,0.9,0.96,0.99,1,1,1,1,1,4370,4370,3496,3059,2622,2185,1748,1311,874,718.55,718.25
4380,0.09,0.09,0.72,0.9,0.96,0.99,1,1,1,1,1,4380,4380,3504.01,3066,2628,2190,1752,1314,876,719.38,719.78
4390,0.09,0.09,0.73,0.9,0.97,0.99,0.99,1,1,1,1,4390,4390,3512,3073,2634,2195,1756,1317,878,721.34,721.63
4400,0.09,0.09,0.73,0.89,0.97,0.99,1,1,1,1,1,4400,4400,3520,3080,2640,2200,1760,1320,880,723.11,722.64
4410,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4410,4410,3528,3087,2646,2205,1764,1323,882,724.81,724.67
4420,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4420,4420,3536,3094,2652,2210,1768,1326,884,726.4,724.04
4430,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4430,4430,3544,3101,2658,2215,1772,1329,886,728.85,729.35
4440,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4440,4440,3552,3108,2664,2220,1776,1332,888,729.81,729.8
4450,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4450,4450,3560,3115,2670,2225,1780,1335,890,730.91,731.19
4460,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4460,4460,3568,3122,2676,2230,1784,1338,892,733.39,732.14
4470,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4470,4470,3576.01,3129,2682,2235,1788,1341,894,735.1,734.08
4480,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4480,4480,3584,3136,2688,2240,1792,1344,896,736.11,736.36
4490,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4490,4490,3592,3143,2694,2245,1796,1347,898,737.65,738.04
4500,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4500,4500,3600,3150,2700,2250,1800,1350,900,738.24,740.13
4510,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4510,4510,3608.01,3157,2706,2255,1804,1353,902,740.11,740.71
4520,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4520,4520,3616,3164,2712,2260,1808,1356,904,742.5,741.8
4530,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4530,4530,3624,3171,2718,2265,1812,1359,906,744.13,745.83
4540,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4540,4540,3632,3178,2724,2270,1816,1362,908,745.52,744.86
4550,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4550,4550,3640,3185,2730,2275,1820,1365,910,746.31,747.56
4560,0.09,0.09,0.73,0.9,0.97,0.99,0.99,1,1,1,1,4560,4560,3648,3192,2736,2280,1824,1368,912,749.09,748.81
4570,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4570,4570,3656,3199,2742,2285,1828,1371,914,750.76,748.74
4580,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4580,4580,3664,3206,2748,2290,1832,1374,916,751.47,752.3
4590,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4590,4590,3672,3213,2754,2295,1836,1377,918,753.72,753.82
4600,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4600,4600,3680,3220,2760,2300,1840,1380,920,754.83,758.5
4610,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4610,4610,3688,3227,2766,2305,1844,1383,922,756.55,756.64
4620,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4620,4620,3696,3234,2772,2310,1848,1386,924,758.62,758.57
4630,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4630,4630,3704,3241,2778,2315,1852,1389,926,761.43,761.13
4640,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4640,4640,3712.01,3248,2784,2320,1856,1392,928,762.46,760.93
4650,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4650,4650,3720.01,3255,2790,2325,1860,1395,930,764.01,763.11
4660,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4660,4660,3728,3262,2796,2330,1864,1398,932,765.29,765.46
4670,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4670,4670,3736,3269,2802,2335,1868,1401,934,767.94,766
4680,0.09,0.08,0.73,0.9,0.97,0.99,1,1,1,1,1,4680,4680,3744,3276,2808,2340,1872,1404,936,768.51,767.14
4690,0.09,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4690,4690,3752,3283,2814,2345,1876,1407,938,770.73,770.84
4700,0.09,0.08,0.73,0.9,0.97,0.99,1,1,1,1,1,4700,4700,3760.01,3290,2820,2350,1880,1410,940,771.85,773.35
4710,0.08,0.09,0.73,0.91,0.97,0.99,1,1,1,1,1,4710,4710,3768.01,3297,2826,2355,1884,1413,942,773.46,774.11
4720,0.08,0.08,0.73,0.9,0.97,0.99,1,1,1,1,1,4720,4720,3776,3304,2832,2360,1888,1416,944,775.86,773.87
4730,0.09,0.08,0.73,0.91,0.97,0.99,1,1,1,1,1,4730,4730,3784,3311,2838,2365,1892,1419,946,778.23,777.72
4740,0.08,0.09,0.73,0.9,0.97,0.99,1,1,1,1,1,4740,4740,3792,3318,2844,2370,1896,1422,948,778.97,778.26
4750,0.09,0.08,0.73,0.9,0.97,0.99,1,1,1,1,1,4750,4750,3800,3325,2850,2375,1900,1425,950,779.2,782.29
4760,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4760,4760,3808,3332,2856,2380,1904,1428,952,782.32,782.94
4770,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4770,4770,3816,3339,2862,2385,1908,1431,954,785.41,785.35
4780,0.08,0.08,0.74,0.91,0.97,1,1,1,1,1,1,4780,4780,3824,3346,2868,2390,1912,1434,956,785.53,786.75
4790,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4790,4790,3832,3353,2874,2395,1916,1437,958,787.64,786.29
4800,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4800,4800,3840,3360,2880,2400,1920,1440,960,788.07,790.22
4810,0.08,0.08,0.73,0.91,0.97,0.99,1,1,1,1,1,4810,4810,3848,3367,2886,2405,1924,1443,962,790.07,789.93
4820,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4820,4820,3856,3374,2892,2410,1928,1446,964,791.43,790.28
4830,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4830,4830,3864,3381,2898,2415,1932,1449,966,794.82,793.49
4840,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4840,4840,3872,3388,2904,2420,1936,1452,968,796.55,794.76
4850,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4850,4850,3880,3395,2910,2425,1940,1455,970,797.91,794.58
4860,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4860,4860,3888,3402,2916,2430,1944,1458,972,798.3,798.19
4870,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4870,4870,3896,3409,2922,2435,1948,1461,974,800.04,798.99
4880,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4880,4880,3904,3416,2928,2440,1952,1464,976,801.58,802.69
4890,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4890,4890,3912,3423,2934,2445,1956,1467,978,803.85,804.06
4900,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4900,4900,3920,3430,2940,2450,1960,1470,980,805.59,804.15
4910,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4910,4910,3928,3437,2946,2455,1964,1473,982,804.28,806.6
4920,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4920,4920,3936,3444,2952,2460,1968,1476,984,806.76,808.13
4930,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4930,4930,3944,3451,2958,2465,1972,1479,986,809.36,810.1
4940,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4940,4940,3952,3458,2964,2470,1976,1482,988,812.29,811.4
4950,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4950,4950,3960,3465,2970,2475,1980,1485,990,812.8,812.42
4960,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4960,4960,3968,3472,2976,2480,1984,1488,992,814.46,813.28
4970,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4970,4970,3976,3479,2982,2485,1988,1491,994,816.23,816.77
4980,0.08,0.08,0.74,0.91,0.97,1,1,1,1,1,1,4980,4980,3984,3486,2988,2490,1992,1494,996,816.45,820.2
4990,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,4990,4990,3992,3493,2994,2495,1996,1497,998,820.81,818.26
5000,0.08,0.08,0.74,0.91,0.97,0.99,1,1,1,1,1,5000,5000,4000,3500,3000,2500,2000,1500,1000,821.99,819.52
